Model,Metric,video1.avi,video2.avi,video3.avi,video4.avi,video5.avi,video6.avi,video7.avi,video8.avi,video9.avi,video10.avi,video11.avi
yolov10l,precision,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000
yolov10l,recall,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.245,0.000,0.227,0.000
yolov10l,accuracy,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.245,0.000,0.227,0.000
yolov10l,f1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.393,0.000,0.371,0.000
yolo11l,precision,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000
yolo11l,recall,0.219,0.000,0.000,0.000,0.000,0.000,0.000,0.245,0.000,0.227,0.000
yolo11l,accuracy,0.219,0.000,0.000,0.000,0.000,0.000,0.000,0.245,0.000,0.227,0.000
yolo11l,f1,0.360,0.000,0.000,0.000,0.000,0.000,0.000,0.393,0.000,0.371,0.000
yolo12l,precision,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
yolo12l,recall,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
yolo12l,accuracy,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
yolo12l,f1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
rtdetr-l,precision,1.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.500,0.000
rtdetr-l,recall,0.218,0.000,0.000,0.000,0.000,0.000,0.212,0.246,0.282,0.228,0.000
rtdetr-l,accuracy,0.218,0.000,0.000,0.000,0.000,0.000,0.212,0.246,0.282,0.228,0.000
rtdetr-l,f1,0.358,0.000,0.000,0.000,0.000,0.000,0.350,0.394,0.441,0.314,0.000
